method,split,task,regime,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_task_equivalence_f1,ci95_task_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_violation,ci95_contact_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_data_efficiency_proxy,ci95_data_efficiency_proxy,groups
aggressive_augmentation_policy,combined_invariance_stress,cable_routing,camera_viewpoint_shift,0.6224,0.0263,0.5578,0.05,0.2007,0.0412,0.3265,0.0168,0.1003,0.019,0.0561,0.015,0.0578,0.0139,0.1071,0.0255,0.1956,0.0337,0.5051,0.0491,7
aggressive_augmentation_policy,combined_invariance_stress,cable_routing,lighting_background_shift,0.6327,0.0303,0.534,0.0399,0.2075,0.0397,0.3418,0.0477,0.0833,0.0292,0.0476,0.0184,0.0612,0.0187,0.1054,0.0079,0.1514,0.0278,0.4949,0.0301,7
aggressive_augmentation_policy,combined_invariance_stress,cable_routing,material_friction_swap,0.534,0.0379,0.5748,0.038,0.25,0.0378,0.3129,0.03,0.3027,0.0475,0.1684,0.0328,0.1684,0.0129,0.1837,0.0123,0.199,0.0373,0.4218,0.0243,7
aggressive_augmentation_policy,combined_invariance_stress,cable_routing,mirror_handed_contact,0.483,0.0363,0.5255,0.043,0.2551,0.0337,0.2772,0.0268,0.2806,0.0349,0.1463,0.0333,0.1701,0.022,0.1854,0.0363,0.1922,0.0393,0.4915,0.0348,7
aggressive_augmentation_policy,combined_invariance_stress,cable_routing,se2_pose_transform,0.5731,0.043,0.5476,0.0283,0.2262,0.0297,0.3316,0.0343,0.1122,0.0341,0.0867,0.0202,0.0782,0.0203,0.1173,0.0219,0.1786,0.0342,0.4864,0.0421,7
aggressive_augmentation_policy,combined_invariance_stress,cable_routing,temporal_order_reversal,0.4881,0.0706,0.5204,0.0352,0.2245,0.049,0.3469,0.032,0.3078,0.0468,0.1207,0.0129,0.1769,0.0156,0.2007,0.0193,0.1565,0.02,0.4847,0.0282,7
aggressive_augmentation_policy,combined_invariance_stress,cable_routing,tool_affordance_swap,0.5187,0.0367,0.5289,0.0521,0.2194,0.037,0.3095,0.045,0.3146,0.0394,0.1565,0.0246,0.2109,0.0446,0.1854,0.0381,0.1752,0.0413,0.4983,0.0393,7
aggressive_augmentation_policy,combined_invariance_stress,drawer_opening,camera_viewpoint_shift,0.5748,0.034,0.5867,0.037,0.2126,0.0206,0.2908,0.0296,0.1105,0.0296,0.0714,0.0342,0.051,0.0159,0.1122,0.0175,0.182,0.0202,0.4966,0.0132,7
aggressive_augmentation_policy,combined_invariance_stress,drawer_opening,lighting_background_shift,0.6378,0.0587,0.5527,0.0292,0.2092,0.0313,0.3231,0.0252,0.0782,0.0196,0.0612,0.0187,0.0493,0.0224,0.1156,0.0167,0.1565,0.0303,0.4592,0.0269,7
aggressive_augmentation_policy,combined_invariance_stress,drawer_opening,material_friction_swap,0.5119,0.0467,0.5204,0.0621,0.2449,0.0441,0.3095,0.0279,0.2704,0.038,0.1735,0.0264,0.1837,0.0394,0.1854,0.0309,0.1463,0.0352,0.4779,0.0399,7
aggressive_augmentation_policy,combined_invariance_stress,drawer_opening,mirror_handed_contact,0.5255,0.0442,0.5357,0.0472,0.2398,0.0433,0.3163,0.0413,0.2806,0.0506,0.1446,0.0316,0.1514,0.0268,0.1735,0.0446,0.1735,0.0356,0.4745,0.0365,7
aggressive_augmentation_policy,combined_invariance_stress,drawer_opening,se2_pose_transform,0.6224,0.039,0.5663,0.0325,0.2024,0.0391,0.3061,0.0623,0.1105,0.0258,0.0595,0.0204,0.0765,0.0221,0.0884,0.0152,0.1582,0.0387,0.4966,0.0304,7
aggressive_augmentation_policy,combined_invariance_stress,drawer_opening,temporal_order_reversal,0.5102,0.0487,0.4932,0.0384,0.216,0.0402,0.3197,0.0246,0.2585,0.03,0.1361,0.0301,0.1769,0.0271,0.1718,0.0143,0.1803,0.0164,0.4626,0.0343,7
aggressive_augmentation_policy,combined_invariance_stress,drawer_opening,tool_affordance_swap,0.5238,0.0472,0.5459,0.0365,0.2415,0.0352,0.3282,0.037,0.2908,0.0341,0.119,0.0169,0.1854,0.0264,0.1735,0.0345,0.1735,0.0243,0.5238,0.0644,7
aggressive_augmentation_policy,combined_invariance_stress,mobile_pick_and_place,camera_viewpoint_shift,0.602,0.0404,0.5765,0.0452,0.199,0.0273,0.3231,0.0597,0.0952,0.0288,0.068,0.0287,0.068,0.0132,0.102,0.0341,0.1582,0.0258,0.5493,0.0172,7
aggressive_augmentation_policy,combined_invariance_stress,mobile_pick_and_place,lighting_background_shift,0.585,0.057,0.5544,0.0325,0.1871,0.034,0.3401,0.0259,0.0765,0.0152,0.051,0.0273,0.034,0.0139,0.102,0.0333,0.1973,0.0274,0.5034,0.0474,7
aggressive_augmentation_policy,combined_invariance_stress,mobile_pick_and_place,material_friction_swap,0.5153,0.0263,0.5255,0.0418,0.2602,0.0354,0.2942,0.04,0.2772,0.0291,0.1344,0.0132,0.1582,0.0348,0.199,0.0253,0.1973,0.036,0.4898,0.0528,7
aggressive_augmentation_policy,combined_invariance_stress,mobile_pick_and_place,mirror_handed_contact,0.5323,0.0506,0.5289,0.0321,0.2313,0.0397,0.2823,0.0258,0.2704,0.034,0.1548,0.0269,0.1667,0.0204,0.182,0.0325,0.1633,0.0098,0.4745,0.0312,7
aggressive_augmentation_policy,combined_invariance_stress,mobile_pick_and_place,se2_pose_transform,0.6122,0.0426,0.5867,0.03,0.2296,0.0387,0.3214,0.0269,0.1139,0.0283,0.0714,0.021,0.0714,0.0161,0.1003,0.0196,0.1735,0.0152,0.5102,0.0513,7
aggressive_augmentation_policy,combined_invariance_stress,mobile_pick_and_place,temporal_order_reversal,0.5255,0.0402,0.5068,0.0377,0.2653,0.0457,0.3333,0.0441,0.2874,0.0347,0.1293,0.0257,0.1888,0.0224,0.1905,0.0398,0.1718,0.0349,0.4796,0.039,7
aggressive_augmentation_policy,combined_invariance_stress,mobile_pick_and_place,tool_affordance_swap,0.5289,0.0407,0.5561,0.0387,0.2585,0.0278,0.3197,0.0262,0.318,0.0253,0.1599,0.0221,0.182,0.0516,0.2007,0.023,0.1871,0.0159,0.483,0.0233,7
aggressive_augmentation_policy,combined_invariance_stress,peg_insertion,camera_viewpoint_shift,0.6276,0.0329,0.568,0.0355,0.2415,0.0243,0.3435,0.0271,0.1122,0.0317,0.0782,0.0196,0.0646,0.0215,0.0952,0.0088,0.1888,0.0224,0.5068,0.0391,7
aggressive_augmentation_policy,combined_invariance_stress,peg_insertion,lighting_background_shift,0.6327,0.0362,0.5408,0.0292,0.2296,0.0413,0.335,0.043,0.102,0.019,0.0612,0.0224,0.0442,0.0189,0.1088,0.0399,0.1769,0.018,0.4932,0.0183,7
aggressive_augmentation_policy,combined_invariance_stress,peg_insertion,material_friction_swap,0.4847,0.0416,0.5391,0.04,0.2738,0.026,0.2908,0.0227,0.2772,0.0337,0.1922,0.0399,0.1531,0.0303,0.2024,0.0197,0.1922,0.0339,0.4626,0.0393,7
aggressive_augmentation_policy,combined_invariance_stress,peg_insertion,mirror_handed_contact,0.5119,0.0353,0.5374,0.0459,0.2432,0.0333,0.284,0.0421,0.2721,0.0389,0.1633,0.0237,0.1616,0.0329,0.1905,0.0467,0.1752,0.0317,0.517,0.0254,7
aggressive_augmentation_policy,combined_invariance_stress,peg_insertion,se2_pose_transform,0.6054,0.0324,0.5323,0.0359,0.2296,0.0446,0.3197,0.0252,0.1327,0.0246,0.0527,0.0238,0.0782,0.0233,0.119,0.0161,0.1684,0.0285,0.4898,0.0396,7
aggressive_augmentation_policy,combined_invariance_stress,peg_insertion,temporal_order_reversal,0.5187,0.0264,0.5272,0.0377,0.2568,0.0333,0.2993,0.0533,0.3231,0.0343,0.1054,0.0294,0.1548,0.0297,0.1871,0.044,0.165,0.0285,0.5255,0.0442,7
aggressive_augmentation_policy,combined_invariance_stress,peg_insertion,tool_affordance_swap,0.5493,0.0495,0.5595,0.0541,0.2585,0.0202,0.3112,0.0386,0.2653,0.0419,0.2007,0.0246,0.1735,0.0264,0.1786,0.021,0.1922,0.0324,0.4694,0.0209,7
aggressive_augmentation_policy,combined_invariance_stress,tool_use,camera_viewpoint_shift,0.5918,0.0248,0.5663,0.0329,0.2109,0.0258,0.301,0.0366,0.1105,0.0195,0.0629,0.022,0.0425,0.0133,0.1412,0.0262,0.1922,0.0448,0.4881,0.031,7
aggressive_augmentation_policy,combined_invariance_stress,tool_use,lighting_background_shift,0.6054,0.0224,0.5561,0.0317,0.2109,0.0321,0.3129,0.0449,0.0782,0.0238,0.068,0.0243,0.0578,0.0156,0.0935,0.0187,0.1735,0.0221,0.5017,0.0213,7
aggressive_augmentation_policy,combined_invariance_stress,tool_use,material_friction_swap,0.5306,0.0391,0.4881,0.0411,0.2466,0.04,0.3605,0.0387,0.2806,0.0349,0.1684,0.0365,0.1735,0.0283,0.2109,0.0333,0.1684,0.0281,0.5136,0.0528,7
aggressive_augmentation_policy,combined_invariance_stress,tool_use,mirror_handed_contact,0.4949,0.04,0.5255,0.052,0.2653,0.049,0.3129,0.041,0.335,0.0354,0.1327,0.0139,0.1854,0.0349,0.1599,0.0274,0.1667,0.0283,0.5,0.0388,7
aggressive_augmentation_policy,combined_invariance_stress,tool_use,se2_pose_transform,0.5799,0.038,0.5204,0.0373,0.2194,0.0493,0.3095,0.0204,0.1565,0.0172,0.068,0.0167,0.0544,0.0152,0.1224,0.0243,0.1786,0.0228,0.4558,0.0268,7
aggressive_augmentation_policy,combined_invariance_stress,tool_use,temporal_order_reversal,0.5051,0.0309,0.517,0.0287,0.2381,0.0204,0.3299,0.0413,0.3367,0.0214,0.0918,0.0141,0.1871,0.0268,0.1888,0.02,0.1973,0.0254,0.5442,0.0344,7
aggressive_augmentation_policy,combined_invariance_stress,tool_use,tool_affordance_swap,0.5034,0.0268,0.5408,0.0539,0.25,0.0265,0.3554,0.0219,0.2772,0.0248,0.1327,0.0271,0.1718,0.0233,0.1973,0.0283,0.1718,0.0249,0.4711,0.0446,7
aggressive_augmentation_policy,invalid_physical_shift,cable_routing,camera_viewpoint_shift,0.6259,0.0446,0.602,0.066,0.1956,0.0309,0.3129,0.0337,0.0918,0.0258,0.0578,0.0213,0.0544,0.0221,0.0935,0.0219,0.1497,0.016,0.4881,0.0455,7
aggressive_augmentation_policy,invalid_physical_shift,cable_routing,lighting_background_shift,0.6514,0.0431,0.5255,0.0219,0.2194,0.0363,0.3469,0.0351,0.0952,0.0356,0.0357,0.0204,0.0374,0.018,0.0901,0.0283,0.1599,0.0441,0.4694,0.0469,7
aggressive_augmentation_policy,invalid_physical_shift,cable_routing,material_friction_swap,0.4949,0.0313,0.534,0.0535,0.2449,0.0475,0.3112,0.0409,0.2721,0.043,0.1531,0.029,0.1497,0.0269,0.2092,0.0249,0.1752,0.0159,0.5204,0.0452,7
aggressive_augmentation_policy,invalid_physical_shift,cable_routing,mirror_handed_contact,0.5204,0.0431,0.5425,0.0593,0.2568,0.037,0.3282,0.0621,0.2976,0.0472,0.1701,0.0098,0.1429,0.0204,0.1752,0.0296,0.1514,0.03,0.4898,0.0424,7
aggressive_augmentation_policy,invalid_physical_shift,cable_routing,se2_pose_transform,0.619,0.0356,0.5867,0.046,0.2534,0.0243,0.3418,0.0226,0.1344,0.0258,0.0629,0.0122,0.0748,0.0321,0.1139,0.0112,0.1735,0.0381,0.5119,0.0216,7
aggressive_augmentation_policy,invalid_physical_shift,cable_routing,temporal_order_reversal,0.568,0.022,0.5476,0.0381,0.2262,0.0342,0.3622,0.0562,0.3197,0.0324,0.131,0.0353,0.1514,0.0377,0.2126,0.0219,0.1701,0.0248,0.5272,0.0248,7
aggressive_augmentation_policy,invalid_physical_shift,cable_routing,tool_affordance_swap,0.5136,0.0579,0.5221,0.0339,0.2432,0.0259,0.3401,0.0374,0.2993,0.0246,0.1412,0.032,0.1752,0.0243,0.1735,0.0183,0.1412,0.0213,0.5085,0.0359,7
aggressive_augmentation_policy,invalid_physical_shift,drawer_opening,camera_viewpoint_shift,0.6429,0.0265,0.5646,0.0463,0.2398,0.0386,0.3282,0.0278,0.119,0.0204,0.0629,0.0167,0.0697,0.0148,0.0782,0.0209,0.1395,0.0296,0.5323,0.0413,7
aggressive_augmentation_policy,invalid_physical_shift,drawer_opening,lighting_background_shift,0.6633,0.0477,0.5612,0.0324,0.2058,0.0189,0.3452,0.0345,0.0731,0.0107,0.068,0.022,0.0527,0.0168,0.0748,0.0132,0.131,0.0197,0.5136,0.0513,7
