method,split,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
action_equivalence_invariance_audit_v5,contact_frame_break,0,0.766667,0.036104,0.597917,0.038849,0.804167,0.031709,0.654167,0.040166,0.033333,0.014701,0.029167,0.015126,0.020833,0.012155,0.010417,0.008896,0.014583,0.010385,0.04375,0.019048,0.216667,0.039584,0.647917,0.043871,0.675,0.042663,0.802083,0.039879,0.029167,0.015126,0.154167,0.037559,0.862937,0.031282,80
action_equivalence_invariance_audit_v5,contact_frame_break,1,0.797917,0.038849,0.61875,0.046559,0.808333,0.033934,0.654167,0.045674,0.045833,0.019251,0.022917,0.012657,0.0125,0.00968,0.00625,0.006982,0.033333,0.016842,0.045833,0.018353,0.1875,0.033572,0.658333,0.044598,0.683333,0.034182,0.814583,0.038103,0.025,0.013123,0.102083,0.029911,0.882167,0.029925,80
action_equivalence_invariance_audit_v5,contact_frame_break,2,0.808333,0.033433,0.60625,0.043581,0.835417,0.031559,0.652083,0.043172,0.060417,0.020334,0.020833,0.015781,0.004167,0.005738,0.008333,0.00801,0.010417,0.008896,0.047917,0.019442,0.23125,0.0417,0.65625,0.041639,0.666667,0.044636,0.816667,0.035633,0.027083,0.015855,0.104167,0.030955,0.89751,0.027595,80
action_equivalence_invariance_audit_v5,contact_frame_break,3,0.75625,0.041882,0.620833,0.045748,0.825,0.029574,0.645833,0.041245,0.04375,0.019048,0.01875,0.011613,0.0125,0.00968,0.0125,0.00968,0.008333,0.009896,0.04375,0.018139,0.195833,0.03524,0.66875,0.042103,0.689583,0.042996,0.825,0.033835,0.0375,0.020932,0.158333,0.041864,0.851083,0.036038,80
action_equivalence_invariance_audit_v5,contact_frame_break,4,0.775,0.039882,0.58125,0.047918,0.822917,0.034055,0.6875,0.042056,0.04375,0.019048,0.020833,0.012155,0.022917,0.013927,0.008333,0.00801,0.0125,0.00968,0.035417,0.015035,0.202083,0.035678,0.61875,0.04433,0.616667,0.045163,0.795833,0.038536,0.033333,0.01874,0.14375,0.039303,0.867958,0.033246,80
action_equivalence_invariance_audit_v5,contact_frame_break,5,0.783333,0.037391,0.577083,0.042681,0.789583,0.034743,0.6875,0.042056,0.025,0.014352,0.014583,0.010385,0.016667,0.011026,0.010417,0.008896,0.010417,0.008896,0.047917,0.018554,0.225,0.03815,0.691667,0.042742,0.68125,0.039921,0.804167,0.036649,0.027083,0.014751,0.125,0.034133,0.87999,0.033355,80
action_equivalence_invariance_audit_v5,contact_frame_break,6,0.80625,0.037859,0.6125,0.045674,0.825,0.03124,0.7,0.040428,0.035417,0.016119,0.035417,0.018093,0.010417,0.008896,0.00625,0.006982,0.010417,0.008896,0.035417,0.016119,0.210417,0.033253,0.6375,0.04677,0.654167,0.038448,0.816667,0.034673,0.039583,0.019486,0.10625,0.031425,0.895792,0.031506,80
action_equivalence_invariance_audit_v5,contact_frame_break,7,0.785417,0.038632,0.60625,0.042403,0.808333,0.031882,0.672917,0.042878,0.054167,0.021568,0.0125,0.00968,0.020833,0.012155,0.008333,0.00801,0.014583,0.010385,0.0375,0.017409,0.220833,0.038885,0.6625,0.041895,0.725,0.041541,0.79375,0.031958,0.041667,0.017911,0.129167,0.036741,0.876667,0.03317,80
action_equivalence_invariance_audit_v5,contact_frame_break,8,0.808333,0.035869,0.589583,0.041477,0.808333,0.033934,0.65,0.040093,0.045833,0.019251,0.016667,0.012464,0.0125,0.00968,0.004167,0.005738,0.0125,0.00968,0.047917,0.018554,0.185417,0.03287,0.660417,0.042878,0.66875,0.037881,0.78125,0.036566,0.039583,0.018599,0.1125,0.031172,0.894219,0.02813,80
action_equivalence_invariance_audit_v5,contact_frame_break,9,0.78125,0.034179,0.61875,0.043948,0.841667,0.037616,0.629167,0.038095,0.0375,0.018353,0.020833,0.013473,0.01875,0.011613,0.010417,0.008896,0.020833,0.012155,0.04375,0.020745,0.235417,0.035201,0.652083,0.043562,0.7,0.046634,0.8375,0.028454,0.035417,0.016119,0.127083,0.033506,0.877177,0.028548,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,0,0.764583,0.036612,0.63125,0.042582,0.808333,0.029688,0.610417,0.041068,0.045833,0.019251,0.01875,0.011613,0.004167,0.005738,0.014583,0.010385,0.020833,0.013473,0.045833,0.017409,0.204167,0.038095,0.645833,0.046986,0.685417,0.03941,0.795833,0.035336,0.0375,0.018353,0.11875,0.036842,0.86224,0.032189,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,1,0.797917,0.035201,0.6,0.040926,0.783333,0.043253,0.660417,0.047723,0.05625,0.0217,0.027083,0.013558,0.01875,0.011613,0.010417,0.008896,0.01875,0.011613,0.054167,0.019941,0.179167,0.03524,0.635417,0.043523,0.68125,0.038632,0.825,0.03433,0.033333,0.015808,0.104167,0.028096,0.885698,0.02801,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,2,0.78125,0.039239,0.6,0.044485,0.802083,0.037702,0.666667,0.045757,0.039583,0.018599,0.0125,0.00968,0.008333,0.00801,0.014583,0.010385,0.0125,0.00968,0.054167,0.022337,0.202083,0.036148,0.6625,0.043087,0.689583,0.042602,0.810417,0.032741,0.05,0.01874,0.1,0.031616,0.874448,0.033157,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,3,0.760417,0.034791,0.59375,0.048565,0.79375,0.036865,0.660417,0.04592,0.039583,0.016685,0.022917,0.013927,0.027083,0.014751,0.010417,0.008896,0.022917,0.013927,0.05,0.01874,0.214583,0.03544,0.629167,0.036279,0.670833,0.042296,0.78125,0.042937,0.029167,0.013965,0.13125,0.033227,0.86,0.030599,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,4,0.75625,0.044235,0.608333,0.044294,0.804167,0.036649,0.627083,0.043192,0.039583,0.018599,0.035417,0.018093,0.022917,0.013927,0.01875,0.011613,0.010417,0.008896,0.05625,0.020907,0.216667,0.035538,0.6375,0.047129,0.677083,0.041639,0.802083,0.036334,0.047917,0.021108,0.152083,0.038632,0.841771,0.038465,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,5,0.741667,0.038062,0.616667,0.047708,0.783333,0.030418,0.6625,0.04149,0.0375,0.018353,0.033333,0.017817,0.035417,0.015035,0.0125,0.00968,0.020833,0.013473,0.066667,0.02143,0.214583,0.03544,0.660417,0.045179,0.64375,0.044917,0.820833,0.035716,0.041667,0.017911,0.14375,0.031693,0.841417,0.03366,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,6,0.75625,0.040655,0.622917,0.03973,0.777083,0.038958,0.6125,0.040998,0.047917,0.019442,0.03125,0.014345,0.014583,0.0119,0.014583,0.010385,0.020833,0.012155,0.05625,0.022464,0.195833,0.038448,0.633333,0.043642,0.660417,0.04665,0.833333,0.034379,0.035417,0.017134,0.152083,0.034474,0.848094,0.035534,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,7,0.752083,0.039837,0.625,0.040051,0.833333,0.035822,0.616667,0.036476,0.045833,0.016411,0.022917,0.013927,0.016667,0.012464,0.00625,0.006982,0.020833,0.012155,0.05625,0.019224,0.229167,0.038272,0.639583,0.039603,0.664583,0.047029,0.820833,0.037559,0.03125,0.014345,0.133333,0.037839,0.854271,0.036477,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,8,0.779167,0.038448,0.5875,0.037198,0.783333,0.036476,0.63125,0.043368,0.039583,0.01564,0.010417,0.008896,0.010417,0.008896,0.008333,0.00801,0.016667,0.011026,0.033333,0.014701,0.210417,0.037093,0.69375,0.040862,0.672917,0.040862,0.789583,0.03973,0.03125,0.015477,0.13125,0.039709,0.869302,0.032312,80
action_equivalence_invariance_audit_v5,heldout_mixed_invariance_stress,9,0.7625,0.03524,0.577083,0.041068,0.789583,0.034743,0.654167,0.044551,0.033333,0.017817,0.016667,0.012464,0.014583,0.010385,0.0125,0.011291,0.020833,0.014672,0.039583,0.01564,0.21875,0.036566,0.66875,0.044444,0.689583,0.041801,0.789583,0.038434,0.029167,0.013965,0.14375,0.031693,0.858563,0.028978,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,0,0.795833,0.038536,0.625,0.044825,0.8125,0.03255,0.652083,0.040758,0.035417,0.015035,0.016667,0.011026,0.020833,0.012155,0.014583,0.010385,0.01875,0.012986,0.052083,0.019787,0.18125,0.035913,0.64375,0.039303,0.6625,0.043864,0.7875,0.031816,0.033333,0.015808,0.127083,0.035937,0.885385,0.032538,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,1,0.80625,0.032586,0.5625,0.040833,0.783333,0.032563,0.645833,0.043632,0.033333,0.016842,0.03125,0.018462,0.025,0.014352,0.008333,0.00801,0.016667,0.011026,0.064583,0.019701,0.202083,0.03707,0.654167,0.037559,0.691667,0.043136,0.808333,0.034915,0.045833,0.020932,0.110417,0.031264,0.895312,0.025893,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,2,0.79375,0.036404,0.585417,0.046487,0.802083,0.032921,0.702083,0.03797,0.039583,0.019486,0.03125,0.015477,0.008333,0.00801,0.016667,0.011026,0.029167,0.016204,0.05,0.017817,0.220833,0.039317,0.704167,0.043477,0.679167,0.039744,0.8,0.038722,0.025,0.013123,0.120833,0.034367,0.886156,0.030324,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,3,0.779167,0.038885,0.602083,0.043678,0.81875,0.035913,0.666667,0.040261,0.052083,0.019787,0.014583,0.0119,0.010417,0.008896,0.008333,0.00801,0.016667,0.011026,0.035417,0.016119,0.195833,0.037559,0.6375,0.044928,0.697917,0.039879,0.804167,0.035716,0.0375,0.017409,0.120833,0.03128,0.867552,0.032253,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,4,0.822917,0.037814,0.560417,0.046578,0.822917,0.030938,0.65625,0.04082,0.029167,0.016204,0.016667,0.011026,0.020833,0.012155,0.010417,0.008896,0.01875,0.01643,0.05,0.017817,0.21875,0.033681,0.652083,0.04278,0.670833,0.042296,0.770833,0.042455,0.047917,0.020292,0.108333,0.035869,0.902427,0.031432,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,5,0.802083,0.039023,0.608333,0.044674,0.775,0.036337,0.664583,0.042103,0.0625,0.022786,0.027083,0.013558,0.0125,0.00968,0.00625,0.006982,0.0125,0.00968,0.04375,0.019048,0.15625,0.032534,0.654167,0.044928,0.672917,0.03741,0.795833,0.038971,0.0375,0.017409,0.114583,0.034179,0.884833,0.032563,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,6,0.764583,0.035678,0.633333,0.043642,0.80625,0.036031,0.647917,0.040675,0.035417,0.016119,0.01875,0.011613,0.00625,0.006982,0.027083,0.013558,0.016667,0.011026,0.0375,0.017409,0.189583,0.035225,0.666667,0.039413,0.710417,0.041801,0.8125,0.037379,0.022917,0.013927,0.15625,0.033556,0.868698,0.03197,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,7,0.7875,0.03286,0.59375,0.049256,0.827083,0.035081,0.675,0.041864,0.03125,0.016532,0.016667,0.011026,0.010417,0.008896,0.004167,0.005738,0.020833,0.014672,0.035417,0.016119,0.191667,0.033433,0.7,0.041662,0.65625,0.041639,0.797917,0.040551,0.035417,0.020704,0.122917,0.030609,0.885531,0.026952,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,8,0.785417,0.037297,0.641667,0.041132,0.8125,0.033065,0.639583,0.045179,0.05,0.021272,0.016667,0.012464,0.0125,0.00968,0.014583,0.010385,0.010417,0.008896,0.035417,0.018093,0.166667,0.031294,0.6625,0.038095,0.6625,0.043087,0.795833,0.038536,0.033333,0.014701,0.116667,0.031509,0.876979,0.031327,80
action_equivalence_invariance_audit_v5,invalid_physical_shift,9,0.766667,0.034673,0.597917,0.04452,0.81875,0.031932,0.68125,0.046195,0.039583,0.018599,0.016667,0.011026,0.010417,0.008896,0.008333,0.00801,0.016667,0.011026,0.05,0.019621,0.185417,0.038103,0.677083,0.046975,0.691667,0.039882,0.766667,0.037929,0.039583,0.017668,0.135417,0.034912,0.869531,0.029283,80
action_equivalence_invariance_audit_v5,nominal,0,0.841667,0.028409,0.6375,0.045303,0.83125,0.036054,0.664583,0.041293,0.027083,0.015855,0.00625,0.006982,0.014583,0.010385,0.002083,0.004083,0.004167,0.005738,0.016667,0.014929,0.175,0.033332,0.629167,0.04025,0.660417,0.04168,0.777083,0.039815,0.014583,0.010385,0.09375,0.024547,0.936688,0.020179,80
action_equivalence_invariance_audit_v5,nominal,1,0.802083,0.040717,0.64375,0.046031,0.779167,0.043786,0.708333,0.040885,0.045833,0.019251,0.020833,0.013473,0.0125,0.00968,0.016667,0.011026,0.008333,0.00801,0.0125,0.00968,0.166667,0.033884,0.660417,0.042482,0.7125,0.045748,0.7875,0.037649,0.025,0.015484,0.139583,0.03741,0.885531,0.034839,80
action_equivalence_invariance_audit_v5,nominal,2,0.83125,0.02876,0.616667,0.037839,0.808333,0.038591,0.716667,0.045163,0.022917,0.012657,0.00625,0.006982,0.010417,0.008896,0.008333,0.00801,0.010417,0.010626,0.014583,0.0119,0.172917,0.030443,0.69375,0.042083,0.679167,0.037559,0.770833,0.038711,0.014583,0.0119,0.110417,0.027835,0.926208,0.021226,80
action_equivalence_invariance_audit_v5,nominal,3,0.825,0.038939,0.610417,0.046104,0.810417,0.034253,0.7375,0.039744,0.03125,0.014345,0.010417,0.008896,0.010417,0.008896,0.008333,0.00801,0.008333,0.00801,0.014583,0.010385,0.185417,0.031826,0.7,0.043253,0.739583,0.038037,0.75625,0.042681,0.01875,0.011613,0.129167,0.03581,0.90376,0.030176,80
action_equivalence_invariance_audit_v5,nominal,4,0.816667,0.02823,0.616667,0.040008,0.8,0.039155,0.73125,0.043678,0.029167,0.013965,0.01875,0.012986,0.008333,0.00801,0.00625,0.009084,0.00625,0.006982,0.0125,0.011291,0.177083,0.03691,0.68125,0.04433,0.664583,0.044063,0.785417,0.034961,0.0125,0.00968,0.127083,0.027407,0.916167,0.020794,80
action_equivalence_invariance_audit_v5,nominal,5,0.8375,0.033872,0.639583,0.045551,0.8,0.029858,0.7125,0.040668,0.020833,0.012155,0.016667,0.012464,0.0125,0.011291,0.014583,0.010385,0.0125,0.011291,0.008333,0.00801,0.1875,0.034563,0.664583,0.048443,0.68125,0.038632,0.745833,0.040668,0.014583,0.010385,0.09375,0.033303,0.920802,0.025559,80
action_equivalence_invariance_audit_v5,nominal,6,0.814583,0.034864,0.639583,0.040446,0.80625,0.032586,0.689583,0.03973,0.033333,0.014701,0.00625,0.006982,0.014583,0.010385,0.004167,0.005738,0.010417,0.008896,0.014583,0.010385,0.172917,0.035081,0.666667,0.044636,0.65,0.040093,0.752083,0.041088,0.027083,0.016886,0.114583,0.036101,0.904885,0.029447,80
action_equivalence_invariance_audit_v5,nominal,7,0.810417,0.035225,0.622917,0.047475,0.81875,0.039066,0.677083,0.042043,0.0375,0.017409,0.008333,0.00801,0.008333,0.00801,0.004167,0.005738,0.004167,0.005738,0.01875,0.012986,0.166667,0.033382,0.689583,0.044158,0.691667,0.039882,0.777083,0.033856,0.022917,0.013927,0.133333,0.030418,0.902979,0.028385,80
action_equivalence_invariance_audit_v5,nominal,8,0.83125,0.03102,0.64375,0.035701,0.741667,0.043057,0.71875,0.037926,0.039583,0.018599,0.010417,0.008896,0.00625,0.006982,0.004167,0.005738,0.016667,0.011026,0.008333,0.009896,0.183333,0.036569,0.675,0.042266,0.658333,0.041459,0.772917,0.040779,0.020833,0.013473,0.114583,0.025058,0.915542,0.023036,80
action_equivalence_invariance_audit_v5,nominal,9,0.8375,0.031816,0.622917,0.042996,0.797917,0.037523,0.69375,0.044804,0.039583,0.017668,0.016667,0.011026,0.010417,0.008896,0.0125,0.011291,0.00625,0.006982,0.004167,0.005738,0.1875,0.035999,0.627083,0.05173,0.6875,0.040418,0.75625,0.040237,0.022917,0.016171,0.110417,0.032326,0.917479,0.025299,80
action_equivalence_invariance_audit_v5,temporal_break,0,0.804167,0.036649,0.60625,0.043192,0.822917,0.03645,0.677083,0.044005,0.039583,0.017668,0.020833,0.013473,0.01875,0.011613,0.020833,0.014672,0.025,0.013123,0.039583,0.016685,0.189583,0.035701,0.64375,0.042203,0.66875,0.040467,0.783333,0.037839,0.03125,0.014345,0.097917,0.035201,0.895792,0.03035,80
action_equivalence_invariance_audit_v5,temporal_break,1,0.79375,0.039517,0.583333,0.040678,0.802083,0.035866,0.654167,0.040998,0.045833,0.019251,0.022917,0.012657,0.016667,0.011026,0.01875,0.011613,0.0125,0.00968,0.033333,0.015808,0.2125,0.037198,0.666667,0.038547,0.66875,0.049135,0.779167,0.033268,0.0375,0.017409,0.11875,0.037747,0.876156,0.031942,80
action_equivalence_invariance_audit_v5,temporal_break,2,0.783333,0.039155,0.545833,0.043477,0.797917,0.034718,0.666667,0.041905,0.041667,0.016942,0.016667,0.012464,0.016667,0.011026,0.0125,0.00968,0.0125,0.00968,0.033333,0.014701,0.20625,0.03732,0.666667,0.040261,0.725,0.034428,0.810417,0.040571,0.035417,0.020704,0.13125,0.03707,0.872167,0.032247,80
action_equivalence_invariance_audit_v5,temporal_break,3,0.764583,0.036612,0.610417,0.039815,0.770833,0.033572,0.658333,0.033835,0.039583,0.016685,0.0125,0.00968,0.014583,0.010385,0.01875,0.011613,0.016667,0.011026,0.060417,0.021932,0.2125,0.03337,0.64375,0.046031,0.66875,0.048443,0.78125,0.039239,0.035417,0.017134,0.120833,0.03337,0.865,0.033553,80
action_equivalence_invariance_audit_v5,temporal_break,4,0.775,0.039026,0.597917,0.04452,0.79375,0.03777,0.6875,0.040833,0.041667,0.015914,0.01875,0.011613,0.020833,0.012155,0.0125,0.00968,0.008333,0.00801,0.052083,0.017999,0.204167,0.037198,0.633333,0.046634,0.641667,0.041945,0.80625,0.034596,0.03125,0.014345,0.127083,0.03777,0.866646,0.032868,80
action_equivalence_invariance_audit_v5,temporal_break,5,0.808333,0.032924,0.60625,0.040779,0.8125,0.033572,0.627083,0.046939,0.0625,0.022786,0.020833,0.013473,0.00625,0.006982,0.008333,0.00801,0.010417,0.010626,0.058333,0.018468,0.216667,0.033078,0.654167,0.039744,0.65625,0.041639,0.8125,0.035999,0.039583,0.016685,0.10625,0.029197,0.899729,0.027458,80
action_equivalence_invariance_audit_v5,temporal_break,6,0.777083,0.041882,0.633333,0.042066,0.789583,0.034743,0.635417,0.039879,0.029167,0.015126,0.004167,0.005738,0.014583,0.010385,0.014583,0.010385,0.025,0.013123,0.058333,0.021033,0.210417,0.035225,0.633333,0.043642,0.720833,0.043786,0.820833,0.033772,0.03125,0.015477,0.1125,0.033772,0.864896,0.034494,80
action_equivalence_invariance_audit_v5,temporal_break,7,0.777083,0.03484,0.625,0.041703,0.777083,0.03484,0.666667,0.042306,0.052083,0.020622,0.027083,0.015855,0.016667,0.011026,0.014583,0.010385,0.020833,0.012155,0.047917,0.01762,0.19375,0.032586,0.614583,0.045235,0.672917,0.041273,0.785417,0.036381,0.020833,0.012155,0.135417,0.029684,0.87199,0.03041,80
action_equivalence_invariance_audit_v5,temporal_break,8,0.75,0.041091,0.595833,0.041814,0.7875,0.035336,0.622917,0.042203,0.0375,0.018353,0.016667,0.011026,0.010417,0.008896,0.014583,0.010385,0.016667,0.012464,0.05,0.01874,0.214583,0.034474,0.641667,0.042742,0.677083,0.039985,0.804167,0.038006,0.05,0.024927,0.170833,0.038536,0.838667,0.034101,80
action_equivalence_invariance_audit_v5,temporal_break,9,0.764583,0.039709,0.627083,0.041599,0.802083,0.036796,0.7,0.039584,0.035417,0.017134,0.029167,0.015126,0.022917,0.013927,0.008333,0.00801,0.03125,0.015477,0.039583,0.016685,0.154167,0.031172,0.639583,0.042482,0.65625,0.038697,0.78125,0.038806,0.027083,0.015855,0.133333,0.03204,0.857687,0.033005,80
action_equivalence_invariance_audit_v5,valid_geometric_shift,0,0.804167,0.03524,0.595833,0.043008,0.789583,0.034743,0.65625,0.040405,0.045833,0.019251,0.020833,0.013473,0.00625,0.006982,0.004167,0.005738,0.01875,0.011613,0.03125,0.014345,0.208333,0.037436,0.664583,0.046305,0.68125,0.040758,0.772917,0.040363,0.016667,0.011026,0.1,0.03318,0.88925,0.028052,80
action_equivalence_invariance_audit_v5,valid_geometric_shift,1,0.785417,0.031932,0.614583,0.042542,0.833333,0.037209,0.691667,0.043912,0.027083,0.013558,0.014583,0.0119,0.008333,0.00801,0.0125,0.00968,0.020833,0.014672,0.035417,0.017134,0.189583,0.032741,0.647917,0.044634,0.7,0.040008,0.789583,0.037093,0.020833,0.013473,0.125,0.030474,0.890073,0.026352,80
action_equivalence_invariance_audit_v5,valid_geometric_shift,2,0.777083,0.036727,0.625,0.0429,0.8,0.037391,0.647917,0.046487,0.033333,0.016842,0.00625,0.006982,0.016667,0.011026,0.00625,0.006982,0.014583,0.0119,0.0375,0.017409,0.208333,0.034624,0.69375,0.04168,0.66875,0.041293,0.797917,0.03797,0.03125,0.016532,0.125,0.037436,0.873062,0.032643,80
action_equivalence_invariance_audit_v5,valid_geometric_shift,3,0.791667,0.039627,0.58125,0.051321,0.81875,0.037747,0.675,0.041864,0.027083,0.013558,0.016667,0.011026,0.0125,0.00968,0.00625,0.006982,0.016667,0.011026,0.029167,0.015126,0.158333,0.037164,0.639583,0.044044,0.716667,0.040844,0.791667,0.035108,0.022917,0.013927,0.127083,0.035464,0.881812,0.031967,80
action_equivalence_invariance_audit_v5,valid_geometric_shift,4,0.791667,0.039198,0.5875,0.052292,0.804167,0.035716,0.675,0.03937,0.033333,0.016842,0.01875,0.011613,0.0125,0.00968,0.002083,0.004083,0.010417,0.008896,0.027083,0.014751,0.197917,0.037252,0.685417,0.040258,0.68125,0.046195,0.789583,0.037545,0.033333,0.017817,0.1375,0.035716,0.88275,0.032651,80
action_equivalence_invariance_audit_v5,valid_geometric_shift,5,0.785417,0.034961,0.61875,0.044709,0.8125,0.041245,0.654167,0.039317,0.047917,0.022651,0.01875,0.011613,0.014583,0.0119,0.004167,0.005738,0.008333,0.00801,0.029167,0.015126,0.2,0.033078,0.660417,0.040027,0.7125,0.038095,0.7625,0.038448,0.016667,0.011026,0.129167,0.03581,0.88276,0.031545,80
