rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1115/detc2013-13377,SQP-Based Mobile Manipulator Motion Planning With Controlled Infeasibility for Physically Valid Task Failure,2013,Volume 6A: 37th Mechanisms and Robotics Conference,https://doi.org/10.1115/detc2013-13377,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1155/2018/9791286,The Design and Evaluation of an Ergonomic Contactless Gesture Control System for Industrial Robots,2018,Journal of Robotics,https://doi.org/10.1155/2018/9791286,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2506.05429v1,Coordinated Robustness Evaluation Framework for Vision-Language Models,2025,arXiv,http://arxiv.org/abs/2506.05429v1,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.20944/preprints202606.0425.v1,The Evaluation Bottleneck of Vision-Language-Action Models: A Evaluation-Centric Survey,,,https://doi.org/10.20944/preprints202606.0425.v1,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.3390/robotics10010045,Cobot User Frame Calibration: Evaluation and Comparison between Positioning Repeatability Performances Achieved by Traditional and Vision-Based Methods,2021,Robotics,https://doi.org/10.3390/robotics10010045,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1155/2019/5015741,Evaluation of Image Enhancement Techniques for Vision-Based Navigation under Low Illumination,2019,Journal of Robotics,https://doi.org/10.1155/2019/5015741,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1186/s40691-020-00242-5,The influence of tactile information on the human evaluation of tactile properties,2021,Fashion and Textiles,https://doi.org/10.1186/s40691-020-00242-5,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2606.00815v1,OmniEEG-Bench: A Standardized Evaluation Benchmark for EEG Foundation Models,2026,arXiv,http://arxiv.org/abs/2606.00815v1,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.23887/jippg.v7i2.79101,Revolutionizing Science Education Evaluation Using a Vision Language Model of Effective Assessment and Supervision,2024,Jurnal Ilmiah Pendidikan Profesi Guru,https://doi.org/10.23887/jippg.v7i2.79101,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.3390/s22114267,Task-Oriented Evaluation of the Feasible Kinematic Directional Capabilities for Robot Machining,2022,Sensors,https://doi.org/10.3390/s22114267,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
